shipment_id,part_id,supplier_id,origin_port,mode,etd,eta,units,status
SHP-00022,PART-0029,SUP-014,Hamburg,ocean,2026-06-01,2026-06-29,34955,in_transit
SHP-00023,PART-0075,SUP-017,Port Klang,ocean,2026-06-07,2026-07-11,15368,in_transit
SHP-00024,PART-0007,SUP-003,Chennai,ocean,2026-05-26,2026-06-21,8733,in_transit
SHP-00025,PART-0001,SUP-004,Manzanillo,ocean,2026-05-22,2026-06-30,12235,customs_hold
SHP-00026,PART-0054,SUP-025,Kaohsiung,ocean,2026-06-02,2026-07-17,47423,in_transit
SHP-00027,PART-0015,SUP-022,Long Beach,ocean,2026-06-02,2026-07-17,25508,in_transit
SHP-00028,PART-0060,SUP-030,Busan,air,2026-06-07,2026-06-13,23041,in_transit
SHP-00029,PART-0009,SUP-024,Kaohsiung,ocean,2026-06-04,2026-07-13,45336,in_transit
SHP-00030,PART-0044,SUP-014,Hamburg,ocean,2026-05-11,2026-07-23,14298,in_transit
SHP-00031,PART-0112,SUP-039,Long Beach,ocean,2026-05-26,2026-06-19,17455,customs_hold
SHP-00032,PART-0108,SUP-003,Chennai,ocean,2026-05-20,2026-06-17,1797,in_transit
SHP-00033,PART-0038,SUP-024,Kaohsiung,air,2026-06-07,2026-06-18,15320,in_transit
SHP-00034,PART-0068,SUP-038,Gdansk,ocean,2026-05-27,2026-07-02,531,in_transit
SHP-00035,PART-0051,SUP-034,Gdansk,ocean,2026-06-08,2026-07-05,2875,customs_hold
SHP-00036,PART-0006,SUP-001,Shanghai,ocean,2026-06-01,2026-06-13,48286,customs_hold
SHP-00037,PART-0026,SUP-020,Shanghai,ocean,2026-05-14,2026-06-26,46861,in_transit
SHP-00038,PART-0052,SUP-002,Port Klang,ocean,2026-06-06,2026-06-29,7199,in_transit
SHP-00039,PART-0073,SUP-037,Busan,ocean,2026-05-31,2026-06-14,17091,in_transit
SHP-00040,PART-0073,SUP-037,Busan,ocean,2026-05-25,2026-07-08,17893,customs_hold
SHP-00041,PART-0065,SUP-015,Hamburg,ocean,2026-06-09,2026-06-20,24058,in_transit
SHP-00042,PART-0019,SUP-031,Hamburg,ocean,2026-05-23,2026-07-04,31663,in_transit
SHP-00043,PART-0090,SUP-014,Hamburg,ocean,2026-06-04,2026-07-24,41411,in_transit
SHP-00044,PART-0082,SUP-001,Shanghai,ocean,2026-05-17,2026-06-21,48450,customs_hold
SHP-00045,PART-0010,SUP-003,Chennai,ocean,2026-05-29,2026-06-30,30637,in_transit
SHP-00046,PART-0101,SUP-010,Laem Chabang,ocean,2026-05-24,2026-07-15,40105,in_transit
SHP-00047,PART-0051,SUP-034,Gdansk,ocean,2026-06-05,2026-07-22,42865,in_transit
SHP-00048,PART-0040,SUP-034,Gdansk,ocean,2026-05-15,2026-07-02,43276,in_transit
SHP-00049,PART-0063,SUP-040,Port Klang,ocean,2026-05-31,2026-07-11,44343,in_transit
SHP-00050,PART-0095,SUP-003,Chennai,ocean,2026-05-16,2026-07-04,7250,customs_hold
SHP-00051,PART-0035,SUP-034,Gdansk,air,2026-05-26,2026-06-12,48845,in_transit
SHP-00052,PART-0090,SUP-014,Hamburg,ocean,2026-06-05,2026-07-03,43098,in_transit
SHP-00053,PART-0119,SUP-018,Long Beach,air,2026-05-30,2026-06-27,4323,in_transit
SHP-00054,PART-0052,SUP-002,Port Klang,air,2026-05-18,2026-07-11,42425,customs_hold
SHP-00055,PART-0116,SUP-006,Hamburg,ocean,2026-05-27,2026-06-15,44211,in_transit
SHP-00056,PART-0050,SUP-016,Hamburg,air,2026-05-29,2026-07-11,20064,in_transit
SHP-00057,PART-0045,SUP-005,Kaohsiung,ocean,2026-05-25,2026-06-18,38340,in_transit
SHP-00058,PART-0030,SUP-017,Port Klang,ocean,2026-05-13,2026-06-25,29618,in_transit
SHP-00059,PART-0066,SUP-031,Hamburg,ocean,2026-05-29,2026-06-22,33956,in_transit
SHP-00060,PART-0095,SUP-003,Chennai,ocean,2026-06-05,2026-07-04,42682,in_transit
SHP-00061,PART-0081,SUP-036,Hai Phong,ocean,2026-05-20,2026-07-11,48932,in_transit
SHP-00062,PART-0009,SUP-024,Kaohsiung,ocean,2026-05-16,2026-07-06,25558,in_transit
SHP-00063,PART-0077,SUP-008,Hamburg,ocean,2026-06-03,2026-07-07,41780,in_transit
SHP-00064,PART-0081,SUP-036,Hai Phong,ocean,2026-05-31,2026-07-03,22774,in_transit
SHP-00065,PART-0085,SUP-012,Busan,ocean,2026-05-31,2026-07-05,9963,in_transit
SHP-00066,PART-0006,SUP-001,Shanghai,ocean,2026-06-06,2026-06-21,21275,in_transit
SHP-00067,PART-0119,SUP-018,Long Beach,ocean,2026-05-12,2026-07-13,21741,in_transit
SHP-00068,PART-0120,SUP-035,Long Beach,ocean,2026-05-27,2026-07-05,21784,in_transit
SHP-00069,PART-0098,SUP-035,Long Beach,ocean,2026-05-14,2026-06-25,42607,in_transit
SHP-00070,PART-0026,SUP-020,Shanghai,ocean,2026-05-18,2026-07-15,20167,in_transit
SHP-00071,PART-0073,SUP-037,Busan,air,2026-05-15,2026-06-23,31033,customs_hold
SHP-00072,PART-0058,SUP-031,Hamburg,ocean,2026-06-05,2026-06-25,2291,in_transit
SHP-00073,PART-0008,SUP-004,Manzanillo,air,2026-05-31,2026-06-12,43434,customs_hold
SHP-00074,PART-0030,SUP-017,Port Klang,ocean,2026-05-26,2026-07-18,14907,customs_hold
SHP-00075,PART-0056,SUP-009,Hai Phong,ocean,2026-05-26,2026-06-22,17660,in_transit
SHP-00076,PART-0117,SUP-002,Port Klang,ocean,2026-06-03,2026-06-15,37823,customs_hold
SHP-00077,PART-0001,SUP-004,Manzanillo,ocean,2026-05-29,2026-07-06,20998,in_transit
SHP-00078,PART-0006,SUP-001,Shanghai,ocean,2026-05-16,2026-06-21,26274,in_transit
SHP-00079,PART-0088,SUP-003,Chennai,ocean,2026-05-18,2026-07-22,21456,in_transit
SHP-00080,PART-0068,SUP-038,Gdansk,air,2026-06-01,2026-07-10,38878,customs_hold
SHP-00081,PART-0067,SUP-009,Hai Phong,ocean,2026-05-28,2026-07-12,520,in_transit
SHP-00082,PART-0014,SUP-030,Busan,air,2026-06-04,2026-06-30,24491,in_transit
SHP-00083,PART-0088,SUP-003,Chennai,ocean,2026-06-08,2026-07-08,39755,customs_hold
SHP-00084,PART-0068,SUP-038,Gdansk,ocean,2026-05-14,2026-07-08,12629,in_transit
SHP-00085,PART-0082,SUP-001,Shanghai,ocean,2026-05-14,2026-07-07,43940,in_transit
SHP-00086,PART-0045,SUP-005,Kaohsiung,air,2026-05-19,2026-07-10,49891,in_transit
SHP-00087,PART-0028,SUP-030,Busan,ocean,2026-05-24,2026-07-11,28718,in_transit
SHP-00088,PART-0042,SUP-034,Gdansk,ocean,2026-05-18,2026-07-06,31139,in_transit
SHP-00089,PART-0011,SUP-008,Hamburg,ocean,2026-06-06,2026-06-26,23954,customs_hold
SHP-00090,PART-0074,SUP-029,Shanghai,ocean,2026-05-28,2026-07-04,23808,in_transit
SHP-00091,PART-0098,SUP-035,Long Beach,ocean,2026-05-16,2026-06-30,45524,in_transit
SHP-00092,PART-0081,SUP-036,Hai Phong,ocean,2026-05-11,2026-06-21,8288,in_transit
SHP-00093,PART-0112,SUP-039,Long Beach,ocean,2026-05-16,2026-07-20,3751,in_transit
SHP-00094,PART-0049,SUP-014,Hamburg,ocean,2026-05-17,2026-07-11,33889,in_transit
SHP-00095,PART-0024,SUP-032,Laem Chabang,ocean,2026-05-31,2026-06-28,16536,in_transit
SHP-00096,PART-0084,SUP-022,Long Beach,ocean,2026-05-13,2026-07-12,40226,in_transit
SHP-00097,PART-0034,SUP-002,Port Klang,ocean,2026-06-05,2026-06-26,41956,in_transit
SHP-00098,PART-0067,SUP-009,Hai Phong,air,2026-06-07,2026-07-11,16453,customs_hold
SHP-00099,PART-0007,SUP-003,Chennai,ocean,2026-06-01,2026-06-19,36060,customs_hold
SHP-00100,PART-0013,SUP-033,Shanghai,ocean,2026-06-04,2026-06-24,18931,in_transit
SHP-00101,PART-0076,SUP-011,Hamburg,ocean,2026-05-27,2026-07-11,43936,customs_hold
SHP-00102,PART-0045,SUP-005,Kaohsiung,ocean,2026-06-05,2026-07-10,35903,in_transit
SHP-00103,PART-0080,SUP-014,Hamburg,ocean,2026-06-08,2026-06-23,46121,in_transit
SHP-00104,PART-0025,SUP-018,Long Beach,ocean,2026-05-25,2026-06-27,5476,in_transit
SHP-00105,PART-0001,SUP-004,Manzanillo,air,2026-05-19,2026-07-06,14327,in_transit
SHP-00106,PART-0009,SUP-024,Kaohsiung,air,2026-05-31,2026-07-01,2475,in_transit
SHP-00107,PART-0061,SUP-014,Hamburg,ocean,2026-06-05,2026-06-30,41928,in_transit
SHP-00108,PART-0056,SUP-009,Hai Phong,ocean,2026-05-19,2026-07-05,30186,in_transit
SHP-00109,PART-0106,SUP-012,Busan,ocean,2026-05-31,2026-07-17,48861,in_transit
SHP-00110,PART-0095,SUP-003,Chennai,ocean,2026-05-12,2026-06-26,47025,customs_hold
SHP-00111,PART-0096,SUP-012,Busan,ocean,2026-05-16,2026-06-14,3201,customs_hold
SHP-00112,PART-0075,SUP-017,Port Klang,ocean,2026-06-09,2026-07-05,9341,in_transit
SHP-00113,PART-0103,SUP-035,Long Beach,ocean,2026-05-19,2026-06-22,11125,in_transit
SHP-00114,PART-0035,SUP-034,Gdansk,ocean,2026-06-02,2026-07-25,27912,in_transit
SHP-00115,PART-0115,SUP-026,Laem Chabang,air,2026-05-23,2026-07-18,27090,in_transit
SHP-00116,PART-0054,SUP-025,Kaohsiung,air,2026-05-21,2026-07-17,45044,in_transit
SHP-00117,PART-0116,SUP-006,Hamburg,ocean,2026-05-30,2026-06-15,17384,in_transit
SHP-00118,PART-0018,SUP-033,Shanghai,air,2026-05-11,2026-07-04,18382,in_transit
SHP-00119,PART-0120,SUP-035,Long Beach,ocean,2026-05-29,2026-07-03,42430,in_transit
SHP-00120,PART-0095,SUP-003,Chennai,ocean,2026-05-28,2026-06-19,30034,in_transit
SHP-00121,PART-0058,SUP-031,Hamburg,ocean,2026-06-06,2026-07-16,8973,customs_hold
SHP-00122,PART-0114,SUP-034,Gdansk,air,2026-05-29,2026-06-14,20635,in_transit
SHP-00123,PART-0083,SUP-024,Kaohsiung,ocean,2026-06-08,2026-06-15,43005,in_transit
SHP-00124,PART-0027,SUP-013,Hai Phong,ocean,2026-05-18,2026-07-19,40857,in_transit
SHP-00125,PART-0110,SUP-020,Shanghai,ocean,2026-06-05,2026-07-25,47700,customs_hold
SHP-00126,PART-0100,SUP-007,Santos,air,2026-06-05,2026-07-14,27702,in_transit
SHP-00127,PART-0030,SUP-017,Port Klang,air,2026-05-28,2026-06-21,1482,in_transit
SHP-00128,PART-0095,SUP-003,Chennai,air,2026-05-15,2026-06-26,34293,customs_hold
SHP-00129,PART-0006,SUP-001,Shanghai,ocean,2026-05-12,2026-06-26,23488,in_transit
SHP-00130,PART-0080,SUP-014,Hamburg,ocean,2026-05-19,2026-07-17,28481,in_transit
SHP-00131,PART-0084,SUP-022,Long Beach,air,2026-05-15,2026-06-22,41498,customs_hold
SHP-00132,PART-0093,SUP-016,Hamburg,ocean,2026-05-24,2026-07-01,27667,in_transit
SHP-00133,PART-0106,SUP-012,Busan,air,2026-05-17,2026-07-13,10963,in_transit
SHP-00134,PART-0076,SUP-011,Hamburg,ocean,2026-06-05,2026-06-19,49966,in_transit
SHP-00135,PART-0014,SUP-030,Busan,ocean,2026-06-05,2026-07-02,7573,customs_hold
SHP-00136,PART-0094,SUP-032,Laem Chabang,ocean,2026-06-04,2026-07-10,12526,in_transit
SHP-00137,PART-0118,SUP-013,Hai Phong,ocean,2026-05-29,2026-06-26,23445,in_transit
SHP-00138,PART-0113,SUP-006,Hamburg,ocean,2026-06-07,2026-06-22,26494,in_transit
SHP-00139,PART-0083,SUP-024,Kaohsiung,ocean,2026-05-23,2026-06-16,43914,customs_hold
SHP-00140,PART-0119,SUP-018,Long Beach,air,2026-06-08,2026-07-13,38182,in_transit
SHP-00141,PART-0017,SUP-008,Hamburg,ocean,2026-06-06,2026-06-19,1907,in_transit
SHP-00142,PART-0075,SUP-017,Port Klang,ocean,2026-05-12,2026-07-17,37513,customs_hold
SHP-00143,PART-0108,SUP-003,Chennai,ocean,2026-05-31,2026-07-13,29740,in_transit
SHP-00144,PART-0014,SUP-030,Busan,ocean,2026-05-16,2026-06-23,21596,in_transit
SHP-00145,PART-0068,SUP-038,Gdansk,ocean,2026-05-16,2026-07-18,11269,in_transit
SHP-00146,PART-0046,SUP-025,Kaohsiung,ocean,2026-05-23,2026-07-08,32724,in_transit
SHP-00147,PART-0083,SUP-024,Kaohsiung,air,2026-05-25,2026-07-11,13501,in_transit
SHP-00148,PART-0106,SUP-012,Busan,ocean,2026-05-14,2026-07-02,29857,in_transit
SHP-00149,PART-0118,SUP-013,Hai Phong,air,2026-05-14,2026-06-21,22805,customs_hold
SHP-00150,PART-0028,SUP-030,Busan,ocean,2026-06-07,2026-07-24,21014,in_transit
SHP-00151,PART-0022,SUP-040,Port Klang,ocean,2026-05-15,2026-07-02,48014,customs_hold
SHP-00152,PART-0037,SUP-002,Port Klang,air,2026-06-01,2026-07-10,5305,in_transit
SHP-00153,PART-0008,SUP-004,Manzanillo,ocean,2026-05-12,2026-06-14,6278,customs_hold
SHP-00154,PART-0067,SUP-009,Hai Phong,ocean,2026-06-04,2026-07-07,13269,in_transit
SHP-00155,PART-0012,SUP-027,Shanghai,ocean,2026-05-22,2026-06-17,47251,in_transit
SHP-00156,PART-0071,SUP-036,Hai Phong,ocean,2026-05-13,2026-07-20,34840,in_transit
SHP-00157,PART-0041,SUP-009,Hai Phong,ocean,2026-06-07,2026-07-05,24868,in_transit
SHP-00158,PART-0003,SUP-022,Long Beach,ocean,2026-05-28,2026-07-18,36917,customs_hold
SHP-00159,PART-0089,SUP-007,Santos,ocean,2026-05-14,2026-07-09,9962,in_transit
SHP-00160,PART-0062,SUP-016,Hamburg,ocean,2026-06-09,2026-06-15,20337,customs_hold
SHP-00161,PART-0118,SUP-013,Hai Phong,ocean,2026-06-04,2026-06-26,1812,in_transit
SHP-00162,PART-0025,SUP-018,Long Beach,ocean,2026-06-09,2026-06-18,41254,in_transit
SHP-00163,PART-0041,SUP-009,Hai Phong,ocean,2026-05-27,2026-07-20,44608,customs_hold
SHP-00164,PART-0100,SUP-007,Santos,ocean,2026-06-03,2026-07-11,48885,in_transit
SHP-00165,PART-0069,SUP-022,Long Beach,ocean,2026-05-25,2026-06-29,33377,in_transit
SHP-00166,PART-0005,SUP-004,Manzanillo,ocean,2026-05-21,2026-07-24,27001,in_transit
SHP-00167,PART-0053,SUP-024,Kaohsiung,ocean,2026-05-14,2026-07-08,28693,customs_hold
SHP-00168,PART-0005,SUP-004,Manzanillo,air,2026-06-06,2026-07-18,7329,in_transit
SHP-00169,PART-0096,SUP-012,Busan,ocean,2026-05-14,2026-07-17,23173,customs_hold
SHP-00170,PART-0113,SUP-006,Hamburg,air,2026-05-21,2026-07-21,36258,in_transit
SHP-00171,PART-0059,SUP-005,Kaohsiung,ocean,2026-05-12,2026-06-17,1142,customs_hold
SHP-00172,PART-0040,SUP-034,Gdansk,ocean,2026-05-12,2026-07-05,15584,in_transit
SHP-00173,PART-0009,SUP-024,Kaohsiung,ocean,2026-05-13,2026-06-24,7296,in_transit
SHP-00174,PART-0065,SUP-015,Hamburg,ocean,2026-05-20,2026-07-07,36809,in_transit
SHP-00175,PART-0071,SUP-036,Hai Phong,ocean,2026-05-12,2026-07-11,7792,in_transit
SHP-00176,PART-0115,SUP-026,Laem Chabang,ocean,2026-05-22,2026-07-24,35871,in_transit
SHP-00177,PART-0105,SUP-028,Laem Chabang,ocean,2026-05-27,2026-06-28,16526,in_transit
SHP-00178,PART-0104,SUP-033,Shanghai,air,2026-06-04,2026-07-16,35350,in_transit
SHP-00179,PART-0092,SUP-039,Long Beach,ocean,2026-05-12,2026-06-24,16169,in_transit
SHP-00180,PART-0026,SUP-020,Shanghai,ocean,2026-05-22,2026-07-18,7653,in_transit
SHP-00181,PART-0021,SUP-007,Santos,ocean,2026-05-23,2026-07-05,40916,customs_hold
SHP-00182,PART-0102,SUP-020,Shanghai,air,2026-06-03,2026-07-06,42988,in_transit
SHP-00183,PART-0025,SUP-018,Long Beach,ocean,2026-05-28,2026-06-16,34181,in_transit
SHP-00184,PART-0070,SUP-001,Shanghai,air,2026-05-28,2026-06-16,18471,in_transit
SHP-00185,PART-0041,SUP-009,Hai Phong,ocean,2026-05-13,2026-06-28,43416,in_transit
SHP-00186,PART-0108,SUP-003,Chennai,ocean,2026-05-27,2026-07-23,49490,in_transit
SHP-00187,PART-0074,SUP-029,Shanghai,ocean,2026-05-23,2026-07-19,23959,in_transit
SHP-00188,PART-0080,SUP-014,Hamburg,ocean,2026-05-21,2026-06-20,48500,in_transit
SHP-00189,PART-0026,SUP-020,Shanghai,ocean,2026-05-11,2026-07-02,14631,in_transit
SHP-00190,PART-0061,SUP-014,Hamburg,ocean,2026-05-20,2026-07-04,4709,in_transit
SHP-00191,PART-0052,SUP-002,Port Klang,ocean,2026-06-08,2026-07-04,33753,in_transit
SHP-00192,PART-0097,SUP-036,Hai Phong,ocean,2026-06-09,2026-06-13,44894,in_transit
SHP-00193,PART-0101,SUP-010,Laem Chabang,ocean,2026-06-09,2026-07-18,16300,customs_hold
SHP-00194,PART-0080,SUP-014,Hamburg,ocean,2026-06-07,2026-06-21,7891,in_transit
SHP-00195,PART-0003,SUP-022,Long Beach,ocean,2026-06-03,2026-06-15,32772,in_transit
SHP-00196,PART-0016,SUP-002,Port Klang,air,2026-05-23,2026-07-25,38949,in_transit
SHP-00197,PART-0087,SUP-024,Kaohsiung,ocean,2026-05-13,2026-07-12,21449,in_transit
SHP-00198,PART-0120,SUP-035,Long Beach,air,2026-05-12,2026-06-21,20505,customs_hold
SHP-00199,PART-0115,SUP-026,Laem Chabang,air,2026-05-29,2026-06-22,760,in_transit
SHP-00200,PART-0026,SUP-020,Shanghai,ocean,2026-05-26,2026-07-13,7489,customs_hold
SHP-00201,PART-0084,SUP-022,Long Beach,ocean,2026-05-18,2026-07-14,1417,in_transit
SHP-00202,PART-0081,SUP-036,Hai Phong,ocean,2026-05-20,2026-07-07,39789,in_transit
SHP-00203,PART-0110,SUP-020,Shanghai,air,2026-05-14,2026-06-23,21503,in_transit
SHP-00204,PART-0091,SUP-028,Laem Chabang,ocean,2026-05-19,2026-07-01,19768,in_transit
SHP-00205,PART-0079,SUP-037,Busan,ocean,2026-06-05,2026-06-28,48624,in_transit
SHP-00206,PART-0052,SUP-002,Port Klang,ocean,2026-05-24,2026-07-17,38064,customs_hold
SHP-00207,PART-0060,SUP-030,Busan,air,2026-06-04,2026-06-28,39199,in_transit
SHP-00208,PART-0037,SUP-002,Port Klang,air,2026-06-09,2026-07-23,40695,in_transit
SHP-00209,PART-0029,SUP-014,Hamburg,ocean,2026-06-04,2026-07-04,31959,in_transit
SHP-00210,PART-0086,SUP-036,Hai Phong,ocean,2026-05-11,2026-06-14,6404,customs_hold
SHP-00211,PART-0061,SUP-014,Hamburg,ocean,2026-05-17,2026-06-30,31429,in_transit
SHP-00212,PART-0070,SUP-001,Shanghai,ocean,2026-05-25,2026-07-16,24568,in_transit
SHP-00213,PART-0063,SUP-040,Port Klang,ocean,2026-06-07,2026-06-22,20692,in_transit
SHP-00214,PART-0116,SUP-006,Hamburg,ocean,2026-06-08,2026-07-18,20075,customs_hold
SHP-00215,PART-0085,SUP-012,Busan,ocean,2026-05-20,2026-06-27,17711,customs_hold
SHP-00216,PART-0080,SUP-014,Hamburg,ocean,2026-05-16,2026-07-02,29893,in_transit
SHP-00217,PART-0013,SUP-033,Shanghai,air,2026-05-11,2026-07-03,23930,in_transit
SHP-00218,PART-0038,SUP-024,Kaohsiung,air,2026-06-08,2026-06-24,33151,customs_hold
SHP-00219,PART-0095,SUP-003,Chennai,ocean,2026-05-30,2026-07-24,36146,customs_hold
SHP-00220,PART-0116,SUP-006,Hamburg,ocean,2026-05-22,2026-06-17,9856,in_transit
