po_id,part_id,supplier_id,units,value_usd,due_date,status
PO-00100,PART-0116,SUP-006,60238,35540.42,2026-08-13,partially_received
PO-00101,PART-0002,SUP-012,30653,862268.89,2026-08-07,open
PO-00102,PART-0046,SUP-025,77660,1880925.2,2026-06-17,open
PO-00103,PART-0049,SUP-014,71232,445912.32,2026-08-13,open
PO-00104,PART-0027,SUP-013,78645,2179252.95,2026-06-16,partially_received
PO-00105,PART-0091,SUP-028,31515,64605.75,2026-08-01,open
PO-00106,PART-0034,SUP-002,23201,251498.84,2026-07-03,open
PO-00107,PART-0100,SUP-007,72692,69057.4,2026-08-10,open
PO-00108,PART-0112,SUP-039,64593,82033.11,2026-07-20,open
PO-00109,PART-0093,SUP-016,7174,7676.18,2026-09-02,open
PO-00110,PART-0018,SUP-033,7873,37396.75,2026-08-30,open
PO-00111,PART-0086,SUP-036,56148,179112.12,2026-06-30,partially_received
PO-00112,PART-0002,SUP-012,30746,864884.98,2026-07-15,open
PO-00113,PART-0067,SUP-009,22144,156336.64,2026-07-20,open
PO-00114,PART-0093,SUP-016,53680,57437.6,2026-06-23,open
PO-00115,PART-0048,SUP-038,45784,1128575.6,2026-08-11,open
PO-00116,PART-0112,SUP-039,57528,73060.56,2026-08-06,open
PO-00117,PART-0079,SUP-037,17961,99503.94,2026-08-20,partially_received
PO-00118,PART-0048,SUP-038,59109,1457036.85,2026-08-16,partially_received
PO-00119,PART-0044,SUP-014,69948,1796964.12,2026-07-22,open
PO-00120,PART-0017,SUP-008,79538,124874.66,2026-08-17,open
PO-00121,PART-0081,SUP-036,17067,64342.59,2026-07-23,open
PO-00122,PART-0120,SUP-035,39427,23261.93,2026-06-29,open
PO-00123,PART-0032,SUP-015,63528,1079976.0,2026-07-17,open
PO-00124,PART-0055,SUP-010,10850,81375.0,2026-07-14,partially_received
PO-00125,PART-0065,SUP-015,35992,125612.08,2026-06-27,partially_received
PO-00126,PART-0041,SUP-009,52919,1005461.0,2026-08-10,partially_received
PO-00127,PART-0033,SUP-027,41541,642223.86,2026-07-08,open
PO-00128,PART-0032,SUP-015,74150,1260550.0,2026-07-02,open
PO-00129,PART-0034,SUP-002,42859,464591.56,2026-08-29,open
PO-00130,PART-0023,SUP-023,23164,110029.0,2026-07-07,open
PO-00131,PART-0034,SUP-002,24855,269428.2,2026-08-28,open
PO-00132,PART-0099,SUP-015,70517,78979.04,2026-08-26,partially_received
PO-00133,PART-0001,SUP-004,74510,1347885.9,2026-07-18,open
PO-00134,PART-0096,SUP-012,20753,41506.0,2026-07-29,open
PO-00135,PART-0103,SUP-035,30509,44543.14,2026-08-16,partially_received
PO-00136,PART-0064,SUP-004,72604,56631.12,2026-07-12,open
PO-00137,PART-0048,SUP-038,19236,474167.4,2026-06-17,open
PO-00138,PART-0059,SUP-005,56954,66636.18,2026-06-27,open
PO-00139,PART-0035,SUP-034,5501,23874.34,2026-09-06,open
PO-00140,PART-0117,SUP-002,28282,23756.88,2026-08-26,open
PO-00141,PART-0088,SUP-003,40871,102586.21,2026-08-20,open
PO-00142,PART-0020,SUP-008,53073,189470.61,2026-07-15,open
PO-00143,PART-0048,SUP-038,69388,1710414.2,2026-08-30,open
PO-00144,PART-0098,SUP-035,14561,28685.17,2026-09-05,open
PO-00145,PART-0092,SUP-039,47336,79997.84,2026-07-03,partially_received
PO-00146,PART-0100,SUP-007,67128,63771.6,2026-07-17,open
PO-00147,PART-0077,SUP-008,51449,463041.0,2026-09-06,partially_received
PO-00148,PART-0090,SUP-014,23969,28762.8,2026-07-04,partially_received
PO-00149,PART-0018,SUP-033,32630,154992.5,2026-09-06,open
PO-00150,PART-0019,SUP-031,24759,84675.78,2026-08-19,partially_received
PO-00151,PART-0099,SUP-015,40106,44918.72,2026-09-03,open
PO-00152,PART-0032,SUP-015,70381,1196477.0,2026-08-09,partially_received
PO-00153,PART-0013,SUP-033,43784,627862.56,2026-07-19,open
PO-00154,PART-0005,SUP-004,11254,406156.86,2026-06-25,open
PO-00155,PART-0095,SUP-003,16026,27244.2,2026-07-18,partially_received
PO-00156,PART-0053,SUP-024,11522,30763.74,2026-08-01,open
PO-00157,PART-0056,SUP-009,33411,147342.51,2026-08-05,partially_received
PO-00158,PART-0017,SUP-008,73863,115964.91,2026-08-25,open
PO-00159,PART-0102,SUP-020,26633,76170.38,2026-09-08,open
PO-00160,PART-0050,SUP-016,66351,211659.69,2026-08-16,open
